Imported table
"Column 1","Column 2","Column 3","Column 4","Column 5"
"ELEMENTY","SZEROKOŚC","DŁUGOŚĆ","WYSOKOŚĆ","GRUBOŚĆ"
"STEŻENIE HORYZONTALNE","S1/S2/ S3","","",""
"STEZENIE DIAGONALNE","S1 S2 S3","L1 / L2/  L3","",""
"PODKŁADKA NIWELUJĄCA","S1 /S2 / S3","","","G1 / G2"
"STOPA REGAŁU","S1 /S2 / S3","","",""
"KOTWA WKRĘCANA","","","",""
"ZAWLECZKA","","","",""
"TRAWERS","","L1 / L2/  L3","",""
"SŁUP","S1 /S2 / S3","","H1/H2/H3",""
"ODBOJNICA SŁUPA","","","",""
"ODBOJNICA NAROŻNA","","","",""
"ODBOJNICA RAMY","","L1 / L2","",""
"POŁKA SIATKOWA","","","",""
